locus	BG11_Control	BG11_Lys	difference
sll0869	0.10083550202821047	0.22463005031180586	-0.12379454828359539
slr0518	0.5195627908081996	4.663332284757046	-4.143769493948846
sll0728	-0.9432560431896008	-1.0914987066447406	0.1482426634551398
slr0435	-0.1814636541476549	-1.1704487082039583	0.9889850540563034
sll0053	-0.5460598130096679	-0.5163640841959132	-0.029695728813754707
sll0336	-2.0783992870622727	-1.5438960479776906	-0.5345032390845821
sll1299	0.19399389465211372	0.2787649298712587	-0.084771035219145
ssl2084	-2.016142854207965	-1.8722198503579968	-0.14392300384996837
sll0542	-0.07032552333122709	-0.27052668057412893	0.20020115724290183
sll1900	-0.051452802112196584	-0.28434057011881797	0.2328877680066214
sll1059	-0.04653703679751055	0.20291267977122737	-0.24944971656873793
sll1815	-1.8330551375129258	-1.826238492167087	-0.006816645345838923
slr1176	0.838265441199977	0.5245677918153188	0.3136976493846583
sll1234	-0.38086821591088427	-0.9258737010513113	0.545005485140427
sll0362	-0.9868723280890606	-1.58983378409467	0.6029614560056094
slr0827	0.6501792350958331	0.2865140740703446	0.36366516102548846
sll0100	0.026393043199966482	0.17698862861786344	-0.15059558541789694
slr1653	-0.03433105275511491	0.32191531219380864	-0.35624636494892353
slr1910	0.018124605640199996	-0.23306349770862295	0.25118810334882297
slr0891	0.18370655146642384	1.0598207872004828	-0.876114235734059
slr1744	0.6033382358063202	-0.9848925418119266	1.588230777618247
slr0447	-0.8701790073064034	2.2856783883234657	-3.155857395629869
slr0323	0.14409573583866545	-0.11833161991411355	0.262427355752779
sll0108	0.13562027571260915	-0.3847292603925014	0.5203495361051105
sll1017	0.05496128498845358	0.18083290039221633	-0.12587161540376274
sll0537	-0.013387609450344276	-0.05455864909178243	0.04117103964143815
slr1109	1.1822087091820215	0.4120470262184619	0.7701616829635596
slr2067	-1.7113178093116952	-1.820335001167832	0.1090171918561369
slr1986	-1.1456300103686383	-1.5056776443235267	0.36004763395488837
ssr3383	-0.4147248452783748	-0.25447260543984584	-0.16025223983852893
sll0928	-0.4412906470338667	0.2642755604268834	-0.70556620746075
slr0335	-1.1143186982701792	-1.9369170911644387	0.8225983928942595
slr1459	-0.26857408904830404	-1.13775673067119	0.8691826416228859
sll1343	-0.9559368149952978	-0.6936029480396537	-0.2623338669556441
slr2057	-0.29534568026928454	0.3371326604054919	-0.6324783406747765
sll1430	0.03438272880313643	-0.13166887968153745	0.16605160848467387
sll0573	-0.27746275018973576	0.17394709186992074	-0.4514098420596565
slr1898	0.22892125659768742	-1.695723424921695	1.9246446815193825
sll0080	-0.02581679914310379	-0.4179328008416074	0.3921160016985036
slr1022	-0.7632148959635328	-1.2280658115125906	0.4648509155490579
sll0902	0.02203043111899816	-0.8822002330523322	0.9042306641713304
slr0585	-0.07022963006412095	-0.44615324111212695	0.375923611048006
slr1133	0.20636677123743682	-0.1580093398298141	0.36437611106725093
sll1883	-0.5018308148340701	-1.001658681722113	0.4998278668880428
sll0502	-0.2851782340607939	0.12327127886196795	-0.4084495129227619
