"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"1",1,1,1,"2022-09-22 19:00:00",680,0.415031164884567,0.415031164884567,2,0,1169,13,30.0352783203125,0,0.386195739306159,NA
"2",2,1,2,"2022-09-22 19:00:00",680,0.403442949056625,0.403442949056625,2,0,1206,14,30.0396385192871,0,0.374669679256673,NA
"3",3,1,3,"2022-09-22 19:00:00",680,0.401550143957138,0.401550143957138,2,0,1211,13,30.0440006256104,0,0.372793950411812,NA
"4",4,1,4,"2022-09-22 19:00:00",680,0.406813859939575,0.406813859939575,2,0,1194,12,30.046178817749,0,0.378014970884787,NA
"5",5,1,5,"2022-09-22 19:00:00",680,0.396706730127335,0.396706730127335,2,0,1211,12,30.0439968109131,0,0.368002992076819,NA
"6",6,1,6,"2022-09-22 19:00:00",680,0.395476132631302,0.395476132631302,2,0,1213,11,30.0439968109131,0,0.366787719802886,NA
"7",7,1,7,"2022-09-22 19:00:00",680,0.412156134843826,0.412156134843826,2,0,1164,10,30.0396366119385,0,0.383329291759999,NA
"8",8,1,8,"2022-09-22 19:00:00",680,0.413020700216293,0.413020700216293,2,0,1177,11,30.0309143066406,0,0.384190799201059,NA
"9",9,1,1,"2022-09-22 19:00:00",720,0.221223756670952,0.221223756670952,2,0,1821,13,30.0352783203125,0,0.231796573748116,NA
"10",10,1,2,"2022-09-22 19:00:00",720,0.214549511671066,0.214549511671066,2,0,1849,13,30.0396385192871,0,0.22444448120344,NA
"11",11,1,3,"2022-09-22 19:00:00",720,0.199838891625404,0.199838891625404,2,0,1899,13,30.0440006256104,0,0.208385058081383,NA
"12",12,1,4,"2022-09-22 19:00:00",720,0.224711835384369,0.224711835384369,2,0,1797,13,30.046178817749,0,0.235655816444315,NA
"13",13,1,5,"2022-09-22 19:00:00",720,0.226862818002701,0.226862818002701,2,0,1785,11,30.0439968109131,0,0.238041559083554,NA
