locus_tag	GO_ID
slr0355	GO:0050661
slr0355	GO:0051287
slr0228	GO:0004176
slr0228	GO:0004222
slr0228	GO:0005524
slr0228	GO:0006508
slr0228	GO:0008270
slr0228	GO:0010206
slr0228	GO:0016887
slr0228	GO:0030163
slr0228	GO:0042651
slr0642	GO:0005886
slr0642	GO:0008517
slr0642	GO:0015231
slr0642	GO:0015350
slr0642	GO:0015884
slr0642	GO:0015885
slr0642	GO:0051958
slr0083	GO:0003724
slr0083	GO:0005524
slr0083	GO:0005829
slr0083	GO:0009409
slr0083	GO:0016887
slr0083	GO:0031676
slr0083	GO:0032574
slr0083	GO:0033592
slr0083	GO:0034057
slr0083	GO:0034458
slr0513	GO:0030288
slr0513	GO:0031676
slr0513	GO:0034755
slr0513	GO:0046872
slr0906	GO:0009772
slr0906	GO:0016168
slr0906	GO:0030096
slr0906	GO:0031676
slr0906	GO:0045156
slr1181	GO:0005506
slr1181	GO:0009523
slr1181	GO:0009635
slr1181	GO:0009772
slr1181	GO:0010242
slr1181	GO:0016168
slr1181	GO:0016682
slr1181	GO:0031676
slr1181	GO:0045156
sll0427	GO:0009654
sll0427	GO:0010207
sll0427	GO:0010242
sll0427	GO:0030096
sll0427	GO:0031676
sll0427	GO:0042549
sml0005	GO:0009539
sml0005	GO:0015979
sml0005	GO:0030096
sml0005	GO:0031676
sll8031	GO:0005506
sll8031	GO:0008137
sll8031	GO:0009060
sll8031	GO:0015990
sll8031	GO:0019684
sll8031	GO:0031676
sll8031	GO:0045272
sll8031	GO:0048038
sll8031	GO:0051539
slr1280	GO:0005506
slr1280	GO:0008137
slr1280	GO:0009060
slr1280	GO:0015990
slr1280	GO:0019684
slr1280	GO:0031676
slr1280	GO:0045272
slr1280	GO:0048038
slr1280	GO:0051539
slr1281	GO:0008137
slr1281	GO:0019684
slr1281	GO:0031676
slr1281	GO:0048038
sll0416	GO:0005524
sll0416	GO:0009408
sll0416	GO:0016853
sll0416	GO:0042026
sll0416	GO:0051082
sll0416	GO:0051085
sll0416	GO:0140662
sll0416	GO:1990220
sll1316	GO:0005886
sll1316	GO:0009496
sll1316	GO:0015979
sll1316	GO:0016491
sll1316	GO:0031676
sll1316	GO:0043231
sll1316	GO:0045158
sll1316	GO:0046872
sll1316	GO:0051537
slr1330	GO:0005524
slr1330	GO:0015986
slr1330	GO:0031676
slr1330	GO:0045260
slr1330	GO:0045261
slr1330	GO:0046933
slr0261	GO:0016655
slr0261	GO:0019684
slr0261	GO:0031676
slr0261	GO:0048038
slr0261	GO:0051287
slr1808	GO:0006782
slr1808	GO:0008883
slr1808	GO:0015995
slr1808	GO:0050661
slr1834	GO:0000287
slr1834	GO:0009055
slr1834	GO:0015979
slr1834	GO:0016168
slr1834	GO:0030094
slr1834	GO:0031676
slr1834	GO:0051539
slr0009	GO:0000287
slr0009	GO:0004497
slr0009	GO:0009853
slr0009	GO:0016984
slr0009	GO:0019253
slr0009	GO:0031470
slr0839	GO:0004325
slr0839	GO:0005737
slr0839	GO:0006783
slr0839	GO:0046872
sll1502	GO:0006537
sll1502	GO:0015930
sll1502	GO:0016041
sll1502	GO:0019676
sll1502	GO:0046872
sll1502	GO:0051538
sll1502	GO:0097054
sll1499	GO:0006537
sll1499	GO:0016040
sll1499	GO:0016041
sll1499	GO:0019676
sll1499	GO:0046872
sll1499	GO:0051538
sll1499	GO:0097054
sml0002	GO:0015979
sml0002	GO:0030096
sml0002	GO:0031676
sll1043	GO:0000175
sll1043	GO:0000287
sll1043	GO:0003723
sll1043	GO:0004654
sll1043	GO:0005829
sll1043	GO:0006396
sll1043	GO:0006401
sll1043	GO:0006402
sml0003	GO:0019684
sml0003	GO:0030096
sml0003	GO:0031676
slr1096	GO:0004148
slr1096	GO:0005886
slr1096	GO:0006096
slr1096	GO:0045252
slr1096	GO:0050660
sll1029	GO:0015977
sll1029	GO:0015979
sll1029	GO:0031470
sll1029	GO:0043886
slr1783	GO:0000156
slr1783	GO:0000976
slr1783	GO:0005829
slr1783	GO:0006355
slr1783	GO:0032993
slr1790	GO:0005886
slr1790	GO:0006782
slr1790	GO:0046872
slr1790	GO:0070818
slr1295	GO:0031676
slr1295	GO:0034755
slr1295	GO:0046872
sll1185	GO:0004109
sll1185	GO:0005737
sll1185	GO:0006782
sll1185	GO:0015995
sll1185	GO:0042803
sll1185	GO:0046872
slr1604	GO:0004176
slr1604	GO:0004222
slr1604	GO:0005524
slr1604	GO:0006508
slr1604	GO:0008270
slr1604	GO:0009579
slr1604	GO:0016887
slr1604	GO:0030163
slr1604	GO:0031676
smr0008	GO:0009523
smr0008	GO:0009539
smr0008	GO:0015979
smr0008	GO:0030096
smr0008	GO:0031676
slr2051	GO:0015979
slr2051	GO:0030089
slr2051	GO:0031676
sll0990	GO:0004024
sll0990	GO:0005829
sll0990	GO:0006069
sll0990	GO:0008270
sll0990	GO:0046294
sll0990	GO:0051903
sll0990	GO:0106321
sll0990	GO:0106322
