Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
BG11_control_t0_r1_T1	3.4	8400497	92991	8400497	662727339	1223442	658580016	0.6257962748689322
BG11_control_t0_r2_T1	3.4	9006375	107831	9006375	711829847	1324369	707112945	0.6626445940528257
BG11_control_t8_r1_T1	3.4	7259431	89048	7259431	573531843	1203508	569527374	0.698212147917304
BG11_control_t8_r2_T1	3.4	8784043	104892	8784043	693651098	1389733	688959049	0.6764278199124252
Lys_t0_r1_T1	3.4	8692533	85523	8692533	687214506	1672398	682880289	0.6306934679286296
Lys_t0_r2_T1	3.4	9241848	119422	9241848	731349422	1707738	725876193	0.7483740104740249
Lys_t8_r1_T1	3.4	8866002	87158	8866002	698281453	1806695	693749514	0.6490132281946775
Lys_t8_r2_T1	3.4	9044655	118839	9044655	714304225	1776929	708763986	0.7756133599797761
