Sample	Top over-represented sequence	Sum of remaining over-represented sequences
BG11_control_t0_r1_T1	0.15394354752501105	0.0
BG11_control_t0_r2_T1	0.1507598784194529	0.0
BG11_control_t8_r1_T1	0.16366305494910274	0.0
BG11_control_t8_r2_T1	0.15898158887326963	0.0
Lys_t0_r1_T1	0.16886911303508725	0.14930058920698705
Lys_t0_r2_T1	0.15098716760560257	0.0
Lys_t8_r1_T1	9.577900636736347	34.840857645612864
Lys_t8_r2_T1	1.5063937818689885	11.107409719804432
