Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BG11_control_t0_r1_T1	BG11_control_t0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8400482.0	0.0	0-111	52.0	5.316645830105619	20.377764275907026	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
BG11_control_t0_r2_T1	BG11_control_t0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9006375.0	0.0	0-111	52.0	5.487734916030291	20.547685500548223	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
BG11_control_t8_r1_T1	BG11_control_t8_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	7259427.0	0.0	0-111	52.0	6.144381767284248	20.573783302731744	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
BG11_control_t8_r2_T1	BG11_control_t8_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8784036.0	0.0	0-111	52.0	5.641281860084105	20.489322903503584	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
Lys_t0_r1_T1	Lys_t0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8692531.0	0.0	0-111	52.0	5.708465269659318	20.638299017857975	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
Lys_t0_r2_T1	Lys_t0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9241845.0	0.0	0-111	52.0	5.554042190709131	20.630094964804105	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
Lys_t8_r1_T1	Lys_t8_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8865993.0	0.0	0-111	51.0	4.913064054980819	20.041897280992664	17	pass	fail	fail	pass	fail	fail	pass	fail	fail	fail	pass
Lys_t8_r2_T1	Lys_t8_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9044647.0	0.0	0-111	52.0	5.524731508765229	20.409771105494777	17	pass	fail	fail	pass	fail	warn	pass	fail	fail	fail	pass
