Gene	sgRNA	eff
slr6034	slr6034|325	1
ssl5091	ssl5091|178	1
ssl5091	ssl5091|200	1
ssl5091	ssl5091|24	1
sll8011	sll8011|148	1
sll8011	sll8011|84	1
sll8011	sll8011|195	1
sll8011	sll8011|33	1
sll8011	sll8011|175	1
slr8030	slr8030|96	1
slr8030	slr8030|147	1
slr8030	slr8030|56	1
slr8030	slr8030|78	1
slr8030	slr8030|67	1
ssl5095	ssl5095|16	1
ssl5095	ssl5095|106	1
ssl5095	ssl5095|92	1
ssl5095	ssl5095|136	1
ssl5095	ssl5095|200	1
ssl8010	ssl8010|101	1
ssl8010	ssl8010|144	1
ssl8010	ssl8010|89	1
ssl8010	ssl8010|5	1
ssl8010	ssl8010|119	1
sll5049	sll5049|114	1
sll5049	sll5049|7	1
sll5049	sll5049|191	1
sll5049	sll5049|128	1
sll5049	sll5049|22	1
sll5048	sll5048|58	1
sll5048	sll5048|74	1
sll5048	sll5048|109	1
sll5048	sll5048|21	1
sll5048	sll5048|149	1
sll5063	sll5063|76	1
sll5063	sll5063|134	1
sll5063	sll5063|48	1
sll5063	sll5063|7	1
sll5063	sll5063|32	1
ssl5098	ssl5098|105	1
ssl5098	ssl5098|68	1
ssl5098	ssl5098|142	1
ssl5098	ssl5098|30	1
ssl5098	ssl5098|47	1
slr7102	slr7102|67	1
slr7102	slr7102|154	1
slr7102	slr7102|179	1
slr7102	slr7102|79	1
slr7102	slr7102|130	1
sll5042	sll5042|139	1
sll5042	sll5042|150	1
sll5042	sll5042|195	1
sll5042	sll5042|178	1
sll5042	sll5042|13	1
slr7100	slr7100|4	1
slr7100	slr7100|140	1
slr7100	slr7100|44	1
slr7100	slr7100|83	1
slr7100	slr7100|19	1
slr7101	slr7101|138	1
slr7101	slr7101|153	1
slr7101	slr7101|100	1
slr7101	slr7101|61	1
slr7101	slr7101|127	1
slr6043	slr6043|31	1
slr6043	slr6043|89	1
slr6043	slr6043|102	1
slr6043	slr6043|14	1
slr6043	slr6043|117	1
sll5052	sll5052|225	1
sll5052	sll5052|142	1
sll5052	sll5052|178	1
sll5052	sll5052|63	1
sll5052	sll5052|190	1
slr5013	slr5013|271	1
slr5013	slr5013|328	1
slr5013	slr5013|243	1
slr5013	slr5013|308	1
slr5013	slr5013|163	1
ssl5099	ssl5099|21	1
ssl5099	ssl5099|236	1
ssl5099	ssl5099|217	1
ssl5099	ssl5099|32	1
slr5088	slr5088|432	1
slr5088	slr5088|523	1
slr5088	slr5088|91	1
slr5088	slr5088|381	1
slr5088	slr5088|570	1
slr5126	slr5126|42	1
slr5126	slr5126|57	1
slr5126	slr5126|234	1
slr5126	slr5126|164	1
slr5126	slr5126|177	1
slr5127	slr5127|31	1
slr5127	slr5127|126	1
slr5127	slr5127|55	1
slr5127	slr5127|108	1
slr5127	slr5127|418	1
slr5124	slr5124|52	1
slr5124	slr5124|749	1
slr5124	slr5124|179	1
slr5124	slr5124|375	1
slr5082	slr5082|375	1
slr5082	slr5082|427	1
slr5085	slr5085|96	1
slr5085	slr5085|181	1
slr5085	slr5085|76	1
slr5085	slr5085|115	1
slr5085	slr5085|160	1
slr5087	slr5087|3	1
slr5087	slr5087|303	1
slr5087	slr5087|61	1
slr5087	slr5087|387	1
slr5087	slr5087|180	1
sll5132	sll5132|156	1
sll5132	sll5132|635	1
sll5132	sll5132|510	1
sll5132	sll5132|654	1
sll5132	sll5132|393	1
sll5130	sll5130|285	1
sll5130	sll5130|126	1
slr5005	slr5005|29	1
slr5005	slr5005|59	1
slr5005	slr5005|16	1
slr5005	slr5005|80	1
slr5005	slr5005|4	1
slr6037	slr6037|118	1
slr5010	slr5010|226	1
slr5010	slr5010|400	1
slr5010	slr5010|367	1
slr5010	slr5010|205	1
slr5010	slr5010|464	1
sll5032	sll5032|172	1
sll5032	sll5032|141	1
sll5032	sll5032|91	1
sll5032	sll5032|76	1
sll5032	sll5032|50	1
ssl5025	ssl5025|25	1
sll5030	sll5030|79	1
sll5030	sll5030|24	1
sll5030	sll5030|7	1
sll5030	sll5030|67	1
sll5030	sll5030|38	1
ssl5027	ssl5027|236	1
ssl5027	ssl5027|31	1
ssl5027	ssl5027|219	1
sll5036	sll5036|126	1
sll5036	sll5036|108	1
sll5036	sll5036|158	1
sll5036	sll5036|42	1
sll5036	sll5036|68	1
sll5034	sll5034|112	1
sll5034	sll5034|97	1
sll5034	sll5034|124	1
sll5034	sll5034|85	1
sll5034	sll5034|148	1
sll5035	sll5035|255	1
sll5035	sll5035|172	1
sll5035	sll5035|34	1
sll5035	sll5035|23	1
sll5035	sll5035|152	1
ssl6035	ssl6035|43	1
ssl6035	ssl6035|92	1
ssl6035	ssl6035|66	1
ssl6035	ssl6035|202	1
slr8038	slr8038|127	1
slr8038	slr8038|34	1
slr8038	slr8038|16	1
slr8038	slr8038|3	1
slr8038	slr8038|112	1
ssl8008	ssl8008|53	1
ssl8008	ssl8008|7	1
ssl8008	ssl8008|70	1
ssl8008	ssl8008|117	1
ssl8008	ssl8008|144	1
ssl8005	ssl8005|152	1
ssl8005	ssl8005|8	1
ssl8005	ssl8005|32	1
ssl8005	ssl8005|91	1
ssl8005	ssl8005|55	1
sll5057	sll5057|70	1
sll5057	sll5057|167	1
sll5057	sll5057|136	1
sll5057	sll5057|230	1
sll5057	sll5057|295	1
sll5050	sll5050|34	1
sll5050	sll5050|263	1
sll5050	sll5050|225	1
sll5050	sll5050|12	1
sll5050	sll5050|309	1
ssl8003	ssl8003|137	1
ssl8003	ssl8003|48	1
ssl8003	ssl8003|85	1
sll5128	sll5128|56	1
sll5128	sll5128|246	1
sll5128	sll5128|294	1
sll5128	sll5128|350	1
sll5128	sll5128|314	1
sll5090	sll5090|442	1
sll5090	sll5090|167	1
ssr7093	ssr7093|195	1
ssr7093	ssr7093|41	1
ssr7093	ssr7093|19	1
ssr7093	ssr7093|30	1
ssr7093	ssr7093|80	1
slr5093	slr5093|154	1
slr5093	slr5093|64	1
slr5093	slr5093|297	1
slr5093	slr5093|87	1
slr5093	slr5093|252	1
slr6001	slr6001|123	1
slr6001	slr6001|4	1
slr6001	slr6001|208	1
slr6001	slr6001|111	1
slr6001	slr6001|66	1
sll5044	sll5044|5	1
sll5044	sll5044|423	1
sll5044	sll5044|256	1
sll5044	sll5044|411	1
sll5044	sll5044|93	1
ssl5096	ssl5096|121	1
ssl5096	ssl5096|88	1
ndhK2	ndhK2|48	1
ndhK2	ndhK2|88	1
ndhK2	ndhK2|36	1
ndhK2	ndhK2|25	1
ndhK2	ndhK2|13	1
sll5047	sll5047|4	1
sll5047	sll5047|120	1
sll5047	sll5047|144	1
sll5047	sll5047|68	1
sll5047	sll5047|79	1
sll5122	sll5122|43	1
sll5122	sll5122|81	1
sll5122	sll5122|63	1
sll5122	sll5122|374	1
sll5122	sll5122|301	1
sll5123	sll5123|93	1
sll5123	sll5123|29	1
sll5123	sll5123|18	1
sll5123	sll5123|3	1
sll5123	sll5123|60	1
slr5018	slr5018|211	1
slr5018	slr5018|291	1
slr5018	slr5018|313	1
sll5046	sll5046|14	1
sll5046	sll5046|226	1
sll5046	sll5046|25	1
sll5046	sll5046|86	1
sll5046	sll5046|43	1
slr5016	slr5016|121	1
slr5016	slr5016|146	1
slr5016	slr5016|53	1
slr5016	slr5016|73	1
slr5016	slr5016|86	1
slr5017	slr5017|28	1
slr5017	slr5017|131	1
slr5017	slr5017|142	1
slr5017	slr5017|161	1
slr5017	slr5017|17	1
sll5084	sll5084|296	1
sll5084	sll5084|310	1
sll5084	sll5084|229	1
sll5084	sll5084|285	1
sll5084	sll5084|373	1
slr5012	slr5012|421	1
slr5012	slr5012|339	1
slr5012	slr5012|400	1
slr5012	slr5012|156	1
slr5012	slr5012|285	1
sll6036	sll6036|304	1
sll6036	sll6036|288	1
sll6036	sll6036|319	1
sll6036	sll6036|256	1
slr5022	slr5022|77	1
slr5022	slr5022|124	1
slr5022	slr5022|28	1
slr5022	slr5022|109	1
slr5022	slr5022|39	1
sll5069	sll5069|71	1
sll5069	sll5069|366	1
sll5069	sll5069|399	1
sll5069	sll5069|25	1
sll5069	sll5069|60	1
slr8029	slr8029|254	1
slr8029	slr8029|269	1
slr8029	slr8029|123	1
slr8029	slr8029|31	1
slr8029	slr8029|292	1
sll5061	sll5061|74	1
sll5061	sll5061|253	1
sll5061	sll5061|18	1
sll5061	sll5061|172	1
sll5061	sll5061|7	1
ssr5074	ssr5074|149	1
slr8022	slr8022|62	1
slr8022	slr8022|106	1
slr8022	slr8022|37	1
slr8022	slr8022|7	1
slr8022	slr8022|166	1
slr8023	slr8023|31	1
slr8023	slr8023|105	1
slr8023	slr8023|117	1
slr8023	slr8023|144	1
slr8023	slr8023|49	1
slr8026	slr8026|100	1
slr8026	slr8026|210	1
slr8026	slr8026|62	1
slr8026	slr8026|12	1
slr8026	slr8026|29	1
sll5066	sll5066|79	1
sll5066	sll5066|113	1
sll5066	sll5066|67	1
sll5066	sll5066|46	1
sll5066	sll5066|13	1
sll5014	sll5014|927	1
sll5014	sll5014|286	1
sll5043	sll5043|109	1
sll5043	sll5043|231	1
sll5043	sll5043|278	1
sll5043	sll5043|65	1
sll5043	sll5043|154	1
slr8036	slr8036|131	1
slr8036	slr8036|57	1
slr8036	slr8036|86	1
slr8036	slr8036|143	1
slr8036	slr8036|31	1
slr6040	slr6040|263	1
slr6040	slr6040|309	1
slr6040	slr6040|168	1
slr6040	slr6040|122	1
slr6040	slr6040|334	1
slr6041	slr6041|1320	1
slr6041	slr6041|1309	1
slr6041	slr6041|148	1
slr6042	slr6042|66	1
slr6042	slr6042|92	1
slr6042	slr6042|77	1
slr6042	slr6042|35	1
slr6042	slr6042|8	1
ssr8013	ssr8013|104	1
ssr8013	ssr8013|42	1
ssr8013	ssr8013|76	1
ssr8013	ssr8013|90	1
ssr8013	ssr8013|23	1
slr6044	slr6044|81	1
slr6044	slr6044|94	1
slr6044	slr6044|106	1
slr6044	slr6044|14	1
slr6044	slr6044|160	1
slr6045	slr6045|83	1
slr6045	slr6045|10	1
slr6045	slr6045|205	1
slr6045	slr6045|285	1
slr6045	slr6045|244	1
sll8019	sll8019|10	1
sll8019	sll8019|161	1
sll8019	sll8019|128	1
sll8019	sll8019|22	1
sll8019	sll8019|240	1
ssl5001	ssl5001|116	1
ssl5001	ssl5001|44	1
ssl5001	ssl5001|32	1
ssl5001	ssl5001|7	1
sll8017	sll8017|13	1
sll8017	sll8017|85	1
sll8017	sll8017|101	1
sll8017	sll8017|44	1
sll8017	sll8017|113	1
sll7089	sll7089|54	1
sll7089	sll7089|35	1
sll7089	sll7089|112	1
sll7089	sll7089|14	1
sll7089	sll7089|96	1
slr8044	slr8044|94	1
slr8044	slr8044|205	1
slr8044	slr8044|37	1
slr8044	slr8044|13	1
slr8044	slr8044|63	1
sll8012	sll8012|81	1
sll8012	sll8012|19	1
sll8012	sll8012|37	1
sll8012	sll8012|4	1
sll8012	sll8012|115	1
ssl5008	ssl5008|8	1
ssl5008	ssl5008|73	1
ssr5092	ssr5092|8	1
ssr5092	ssr5092|85	1
ssr5092	ssr5092|120	1
sll7085	sll7085|24	1
sll7085	sll7085|151	1
sll7085	sll7085|68	1
sll7085	sll7085|52	1
sll7085	sll7085|103	1
sll7087	sll7087|50	1
sll7087	sll7087|79	1
sll7087	sll7087|138	1
sll7087	sll7087|169	1
sll7087	sll7087|106	1
sll7086	sll7086|139	1
sll7086	sll7086|3	1
sll7086	sll7086|50	1
sll7086	sll7086|175	1
sll7086	sll7086|127	1
ssl5007	ssl5007|200	1
ssr5121	ssr5121|149	1
ssr5117	ssr5117|40	1
ssr5117	ssr5117|24	1
ssr5117	ssr5117|106	1
ssr6089	ssr6089|151	1
ssr6046	ssr6046|115	1
ssr6046	ssr6046|62	1
ssr6046	ssr6046|103	1
ssr6046	ssr6046|30	1
ssl6061	ssl6061|119	1
ssl6061	ssl6061|147	1
ssl6061	ssl6061|82	1
slr6106	slr6106|817	1
slr6106	slr6106|421	1
slr6106	slr6106|769	1
slr6106	slr6106|836	1
ssr6048	ssr6048|118	1
ssr6048	ssr6048|105	1
ssr6048	ssr6048|48	1
ssr6048	ssr6048|184	1
sll6098	sll6098|63	1
sll6098	sll6098|10	1
sll6098	sll6098|88	1
sll6098	sll6098|294	1
sll6098	sll6098|75	1
sll6093	sll6093|140	1
sll6093	sll6093|59	1
sll6093	sll6093|116	1
sll6093	sll6093|43	1
sll6093	sll6093|87	1
slr6051	slr6051|125	1
slr6051	slr6051|177	1
slr6051	slr6051|253	1
slr6050	slr6050|195	1
slr6050	slr6050|142	1
slr6050	slr6050|181	1
slr6050	slr6050|92	1
slr6050	slr6050|430	1
slr6057	slr6057|49	1
slr6057	slr6057|102	1
slr6057	slr6057|141	1
slr6057	slr6057|295	1
slr6057	slr6057|274	1
slr6056	slr6056|130	1
slr6056	slr6056|88	1
slr6056	slr6056|229	1
slr6056	slr6056|144	1
slr6056	slr6056|28	1
slr6058	slr6058|349	1
slr6058	slr6058|245	1
slr6058	slr6058|334	1
slr6058	slr6058|414	1
slr6058	slr6058|221	1
sll6053	sll6053|115	1
sll6053	sll6053|202	1
sll6053	sll6053|129	1
sll6053	sll6053|163	1
sll6053	sll6053|183	1
sll6052	sll6052|303	1
sll6052	sll6052|204	1
sll6052	sll6052|123	1
sll6052	sll6052|291	1
sll6052	sll6052|248	1
sll6055	sll6055|279	1
sll6055	sll6055|141	1
sll6055	sll6055|57	1
sll6055	sll6055|69	1
sll6055	sll6055|108	1
sll6054	sll6054|108	1
sll6054	sll6054|55	1
sll6054	sll6054|29	1
sll6054	sll6054|70	1
sll6054	sll6054|15	1
slr6108	slr6108|621	1
slr6108	slr6108|674	1
slr6108	slr6108|523	1
slr6108	slr6108|541	1
slr6108	slr6108|429	1
sll6059	sll6059|205	1
sll6059	sll6059|81	1
sll6059	sll6059|263	1
sll6059	sll6059|226	1
sll6059	sll6059|92	1
slr6101	slr6101|57	1
slr6101	slr6101|36	1
slr6101	slr6101|195	1
slr6101	slr6101|146	1
slr6101	slr6101|98	1
ssr6099	ssr6099|36	1
ssr6099	ssr6099|81	1
ssr6099	ssr6099|115	1
ssr6099	ssr6099|103	1
ssr6099	ssr6099|65	1
slr6097	slr6097|502	1
slr6097	slr6097|488	1
slr6097	slr6097|375	1
slr6097	slr6097|457	1
slr6097	slr6097|436	1
slr6096	slr6096|21	1
slr6096	slr6096|82	1
slr6096	slr6096|135	1
slr6096	slr6096|219	1
slr6096	slr6096|146	1
slr6095	slr6095|141	1
slr6095	slr6095|179	1
slr6095	slr6095|372	1
slr6095	slr6095|391	1
slr6095	slr6095|8	1
slr6094	slr6094|217	1
slr6094	slr6094|236	1
slr6094	slr6094|264	1
slr6094	slr6094|95	1
slr6094	slr6094|11	1
slr6091	slr6091|183	1
slr6091	slr6091|30	1
slr6091	slr6091|281	1
slr6091	slr6091|171	1
slr6091	slr6091|335	1
slr6090	slr6090|213	1
slr6090	slr6090|76	1
slr6090	slr6090|328	1
slr6090	slr6090|166	1
slr6090	slr6090|356	1
slr6102	slr6102|222	1
slr6102	slr6102|111	1
slr6102	slr6102|126	1
slr6102	slr6102|171	1
slr6102	slr6102|188	1
ssl6092	ssl6092|211	1
ssl6092	ssl6092|163	1
ssl6092	ssl6092|139	1
ssl6092	ssl6092|181	1
slr6047	slr6047|192	1
slr6047	slr6047|30	1
slr6047	slr6047|313	1
slr6047	slr6047|148	1
slr6047	slr6047|101	1
slr6063	slr6063|229	1
slr6063	slr6063|210	1
slr6107	slr6107|431	1
slr6107	slr6107|280	1
slr6107	slr6107|161	1
slr6107	slr6107|265	1
slr6107	slr6107|173	1
sll6109	sll6109|211	1
sll6109	sll6109|226	1
sll6109	sll6109|336	1
sll6109	sll6109|427	1
sll6109	sll6109|410	1
sll6060	sll6060|151	1
sll6060	sll6060|205	1
sll6060	sll6060|101	1
sll6060	sll6060|76	1
sll6060	sll6060|136	1
slr6100	slr6100|265	1
slr6100	slr6100|48	1
slr6100	slr6100|22	1
slr6100	slr6100|130	1
slr6100	slr6100|216	1
slr6103	slr6103|104	1
slr6103	slr6103|120	1
slr6103	slr6103|85	1
slr6103	slr6103|40	1
slr6103	slr6103|213	1
slr6049	slr6049|231	1
slr6049	slr6049|160	1
slr6049	slr6049|393	1
slr6049	slr6049|328	1
slr6049	slr6049|138	1
aspA	aspA|182	1
aspA	aspA|114	1
aspA	aspA|268	1
aspA	aspA|224	1
aspA	aspA|207	1
slr1851	slr1851|151	1
slr1851	slr1851|91	1
slr1851	slr1851|251	1
slr1851	slr1851|131	1
slr1851	slr1851|16	1
dnaJ2	dnaJ2|175	1
dnaJ2	dnaJ2|160	1
dnaJ2	dnaJ2|39	1
dnaJ2	dnaJ2|102	1
dnaJ2	dnaJ2|114	1
slr1140	slr1140|115	1
slr1140	slr1140|262	1
slr1140	slr1140|229	1
slr1140	slr1140|317	1
slr1140	slr1140|70	1
pobA	pobA|149	1
pobA	pobA|110	1
pobA	pobA|164	1
pobA	pobA|252	1
pobA	pobA|209	1
slr1906	slr1906|98	1
slr1906	slr1906|66	1
slr1906	slr1906|83	1
slr1906	slr1906|10	1
slr1906	slr1906|21	1
slr1143	slr1143|199	1
slr1143	slr1143|100	1
slr1143	slr1143|15	1
slr1143	slr1143|129	1
slr1143	slr1143|113	1
ssr2315	ssr2315|96	1
ssr2315	ssr2315|58	1
slr1383	slr1383|54	1
slr1383	slr1383|176	1
slr1383	slr1383|131	1
slr1383	slr1383|193	1
slr1383	slr1383|152	1
ssr2317	ssr2317|146	1
ssr2317	ssr2317|27	1
ssr2317	ssr2317|42	1
ssr2317	ssr2317|3	1
ssr2317	ssr2317|83	1
slr1147	slr1147|4	1
slr1147	slr1147|160	1
slr1147	slr1147|28	1
slr1147	slr1147|49	1
slr1147	slr1147|210	1
slr1702	slr1702|122	1
slr1702	slr1702|4	1
slr1702	slr1702|15	1
slr1702	slr1702|58	1
slr1702	slr1702|111	1
ssr1698	ssr1698|9	1
ssr1698	ssr1698|106	1
ssr1698	ssr1698|133	1
ssr1698	ssr1698|59	1
ssr1698	ssr1698|121	1
pilJ	pilJ|103	1
pilJ	pilJ|88	1
pilJ	pilJ|161	1
pilJ	pilJ|10	1
pilJ	pilJ|70	1
slr1908	slr1908|103	1
slr1908	slr1908|69	1
slr1908	slr1908|55	1
slr1908	slr1908|82	1
slr1908	slr1908|36	1
slr1909	slr1909|134	1
slr1909	slr1909|202	1
slr1909	slr1909|183	1
slr1909	slr1909|95	1
slr1909	slr1909|106	1
slr1704	slr1704|20	1
slr1704	slr1704|67	1
slr1704	slr1704|123	1
slr1704	slr1704|40	1
slr1704	slr1704|134	1
ctaD	ctaD|10	1
ctaD	ctaD|77	1
ctaD	ctaD|139	1
ctaD	ctaD|151	1
ctaD	ctaD|36	1
ctaE	ctaE|84	1
ctaE	ctaE|65	1
ctaE	ctaE|7	1
ctaE	ctaE|131	1
ctaE	ctaE|101	1
ctaC	ctaC|9	1
ctaC	ctaC|103	1
ctaC	ctaC|148	1
ctaC	ctaC|90	1
ctaC	ctaC|25	1
bfr	bfr|220	1
bfr	bfr|199	1
bfr	bfr|137	1
bfr	bfr|37	1
bfr	bfr|92	1
ftsH2	ftsH2|12	1
ftsH2	ftsH2|26	1
ftsH2	ftsH2|59	1
ftsH2	ftsH2|102	1
ftsH2	ftsH2|91	1
sll0984	sll0984|165	1
sll0984	sll0984|153	1
sll0984	sll0984|88	1
sll0984	sll0984|100	1
sll0984	sll0984|70	1
ssl3615	ssl3615|7	1
ssl3615	ssl3615|76	1
ssl3615	ssl3615|25	1
ssl3615	ssl3615|87	1
ssl3615	ssl3615|49	1
ssl3446	ssl3446|67	1
ssl3446	ssl3446|142	1
ssl3446	ssl3446|96	1
ssl3446	ssl3446|85	1
ssl3446	ssl3446|158	1
slr1907	slr1907|62	1
slr1907	slr1907|90	1
slr1907	slr1907|31	1
slr1907	slr1907|79	1
slr1907	slr1907|101	1
rnb	rnb|65	1
rnb	rnb|126	1
rnb	rnb|113	1
rnb	rnb|26	1
rnb	rnb|150	1
slr2030	slr2030|52	1
slr2030	slr2030|78	1
slr2030	slr2030|25	1
slr2030	slr2030|253	1
slr2030	slr2030|272	1
sll1942	sll1942|69	1
sll1942	sll1942|165	1
sll1942	sll1942|186	1
sll1942	sll1942|101	1
sll1942	sll1942|18	1
ssr3410	ssr3410|7	1
ssr3410	ssr3410|183	1
ssr3410	ssr3410|116	1
ssr3410	ssr3410|139	1
ssr3410	ssr3410|78	1
sll1940	sll1940|129	1
sll1940	sll1940|41	1
sll1940	sll1940|145	1
sll1940	sll1940|83	1
sll1940	sll1940|64	1
sll1946	sll1946|49	1
sll1946	sll1946|83	1
sll1946	sll1946|36	1
sll1946	sll1946|111	1
sll1946	sll1946|122	1
leuS	leuS|109	1
leuS	leuS|143	1
leuS	leuS|123	1
leuS	leuS|7	1
leuS	leuS|78	1
sll1945	sll1945|50	1
sll1945	sll1945|19	1
sll1945	sll1945|106	1
sll1945	sll1945|95	1
sll1945	sll1945|70	1
ndhF	ndhF|79	1
ndhF	ndhF|43	1
ndhF	ndhF|56	1
ndhF	ndhF|102	1
ndhF	ndhF|114	1
hypB	hypB|100	1
hypB	hypB|5	1
hypB	hypB|41	1
hypB	hypB|122	1
hypB	hypB|61	1
ureC	ureC|31	1
ureC	ureC|112	1
ureC	ureC|45	1
ureC	ureC|175	1
ureC	ureC|17	1
tyrS2	tyrS2|74	1
tyrS2	tyrS2|152	1
tyrS2	tyrS2|168	1
hemN	hemN|179	1
hemN	hemN|115	1
hemN	hemN|24	1
hemN	hemN|104	1
hemN	hemN|84	1
sll1824	sll1824|48	1
sll1824	sll1824|5	1
sll1824	sll1824|37	1
sll1824	sll1824|66	1
sll1824	sll1824|24	1
lepB2	lepB2|17	1
lepB2	lepB2|44	1
lepB2	lepB2|79	1
lepB2	lepB2|4	1
lepB2	lepB2|58	1
slr1142	slr1142|132	1
slr1142	slr1142|17	1
slr1142	slr1142|181	1
slr1142	slr1142|95	1
slr1142	slr1142|75	1
ftsI	ftsI|37	1
ftsI	ftsI|94	1
ftsI	ftsI|67	1
ftsI	ftsI|48	1
ftsI	ftsI|154	1
sll1830	sll1830|85	1
sll1830	sll1830|48	1
sll1830	sll1830|17	1
sll1830	sll1830|34	1
sll1830	sll1830|73	1
slr1378	slr1378|115	1
slr1378	slr1378|21	1
slr1378	slr1378|63	1
slr1378	slr1378|97	1
slr1378	slr1378|10	1
slr1376	slr1376|56	1
slr1376	slr1376|136	1
slr1376	slr1376|125	1
slr1376	slr1376|88	1
slr1376	slr1376|31	1
slr2013	slr2013|81	1
slr2013	slr2013|136	1
slr2013	slr2013|186	1
slr2013	slr2013|218	1
slr2013	slr2013|197	1
slr2012	slr2012|152	1
slr2012	slr2012|75	1
slr2012	slr2012|126	1
slr2012	slr2012|40	1
slr2012	slr2012|14	1
slr2011	slr2011|3	1
slr2011	slr2011|193	1
slr2011	slr2011|111	1
slr2011	slr2011|157	1
slr2011	slr2011|232	1
sll1286	sll1286|64	1
sll1286	sll1286|190	1
sll1286	sll1286|91	1
sll1286	sll1286|20	1
sll1286	sll1286|106	1
slr2017	slr2017|303	1
slr2017	slr2017|241	1
slr2017	slr2017|80	1
slr2017	slr2017|142	1
slr2017	slr2017|68	1
slr2016	slr2016|89	1
slr2016	slr2016|58	1
slr2016	slr2016|33	1
slr2016	slr2016|100	1
slr2016	slr2016|155	1
cpcC2	cpcC2|100	1
cpcC2	cpcC2|19	1
cpcC2	cpcC2|73	1
cpcC2	cpcC2|57	1
cpcC2	cpcC2|40	1
sll1293	sll1293|54	1
sll1293	sll1293|97	1
sll1293	sll1293|36	1
sll1293	sll1293|82	1
sll1293	sll1293|67	1
slr2019	slr2019|9	1
slr2019	slr2019|44	1
slr2019	slr2019|79	1
slr2019	slr2019|114	1
slr2019	slr2019|136	1
slr2018	slr2018|148	1
slr2018	slr2018|57	1
slr2018	slr2018|160	1
slr2018	slr2018|112	1
slr2018	slr2018|68	1
sll1289	sll1289|164	1
sll1289	sll1289|81	1
sll1289	sll1289|12	1
sll1289	sll1289|147	1
sll1289	sll1289|55	1
comEc	comEc|8	1
comEc	comEc|170	1
comEc	comEc|150	1
comEc	comEc|229	1
comEc	comEc|217	1
slr1148	slr1148|66	1
slr1148	slr1148|38	1
slr1148	slr1148|149	1
slr1148	slr1148|232	1
slr1148	slr1148|281	1
ndhD5	ndhD5|248	1
ndhD5	ndhD5|4	1
ndhD5	ndhD5|39	1
ndhD5	ndhD5|232	1
ndhD5	ndhD5|174	1
ssr2318	ssr2318|234	1
ssr2318	ssr2318|11	1
ssr2318	ssr2318|125	1
clcD	clcD|19	1
clcD	clcD|70	1
clcD	clcD|137	1
clcD	clcD|96	1
clcD	clcD|82	1
zntC	zntC|70	1
zntC	zntC|129	1
zntC	zntC|11	1
zntC	zntC|84	1
zntC	zntC|22	1
proB	proB|83	1
proB	proB|53	1
proB	proB|157	1
proB	proB|137	1
proB	proB|194	1
slr1920	slr1920|43	1
slr1920	slr1920|90	1
slr1920	slr1920|76	1
slr1920	slr1920|54	1
slr1920	slr1920|108	1
sll1934	sll1934|19	1
sll1934	sll1934|62	1
sll1934	sll1934|98	1
sll1934	sll1934|49	1
sll1934	sll1934|81	1
folP	folP|150	1
folP	folP|161	1
folP	folP|33	1
folP	folP|228	1
folP	folP|215	1
sll1930	sll1930|473	1
speB	speB|10	1
speB	speB|98	1
speB	speB|24	1
speB	speB|46	1
speB	speB|69	1
sll1834	sll1834|19	1
sll1834	sll1834|104	1
sll1834	sll1834|84	1
sll1834	sll1834|58	1
sll1834	sll1834|33	1
sll1835	sll1835|117	1
sll1835	sll1835|14	1
sll1835	sll1835|91	1
sll1835	sll1835|151	1
sll1835	sll1835|184	1
sll1832	sll1832|66	1
sll1832	sll1832|12	1
sll1832	sll1832|28	1
sll1832	sll1832|40	1
sll1832	sll1832|52	1
ycf23	ycf23|106	1
ycf23	ycf23|158	1
ycf23	ycf23|11	1
ycf23	ycf23|46	1
ycf23	ycf23|179	1
sll1938	sll1938|116	1
sll1938	sll1938|62	1
sll1938	sll1938|7	1
sll1938	sll1938|233	1
sll1938	sll1938|184	1
slr2008	slr2008|121	1
slr2008	slr2008|143	1
slr2008	slr2008|160	1
slr2008	slr2008|205	1
slr2008	slr2008|184	1
mrcB	mrcB|74	1
mrcB	mrcB|86	1
mrcB	mrcB|7	1
mrcB	mrcB|22	1
mrcB	mrcB|53	1
cydA	cydA|232	1
cydA	cydA|217	1
cydA	cydA|271	1
cydA	cydA|78	1
cydA	cydA|319	1
cydB	cydB|130	1
cydB	cydB|160	1
cydB	cydB|118	1
cydB	cydB|6	1
cydB	cydB|80	1
hisD2	hisD2|80	1
hisD2	hisD2|26	1
hisD2	hisD2|155	1
hisD2	hisD2|97	1
hisD2	hisD2|47	1
sll1292	sll1292|188	1
sll1292	sll1292|138	1
sll1292	sll1292|217	1
sll1292	sll1292|67	1
sll1292	sll1292|28	1
gumB	gumB|15	1
gumB	gumB|135	1
gumB	gumB|64	1
gumB	gumB|29	1
gumB	gumB|117	1
sll1291	sll1291|55	1
sll1291	sll1291|66	1
sll1291	sll1291|96	1
sll1291	sll1291|9	1
sll1291	sll1291|22	1
sll1296	sll1296|69	1
sll1296	sll1296|10	1
sll1296	sll1296|34	1
sll1296	sll1296|22	1
sll1296	sll1296|125	1
slr2005	slr2005|161	1
slr2005	slr2005|81	1
slr2005	slr2005|25	1
slr2005	slr2005|92	1
slr2005	slr2005|46	1
slr2006	slr2006|176	1
slr2006	slr2006|142	1
slr2006	slr2006|162	1
slr2006	slr2006|91	1
slr2006	slr2006|121	1
rub	rub|84	1
rub	rub|43	1
rub	rub|12	1
rub	rub|25	1
