Gene	sgRNA	eff
slr1415	slr1415|119	1
dapB	dapB|79	1
dapB	dapB|56	1
dapB	dapB|123	1
dapB	dapB|180	1
dapB	dapB|21	1
pchR	pchR|16	1
pchR	pchR|49	1
pchR	pchR|4	1
pchR	pchR|70	1
pchR	pchR|29	1
psb13	psb13|148	1
psb13	psb13|136	1
psb13	psb13|19	1
psb13	psb13|37	1
psb13	psb13|56	1
fus	fus|114	1
fus	fus|25	1
fus	fus|9	1
fus	fus|55	1
fus	fus|167	1
llaI_2	llaI_2|982	1
llaI_2	llaI_2|444	1
llaI_2	llaI_2|1259	1
llaI_2	llaI_2|327	1
ssl0410	ssl0410|214	1
ssl0410	ssl0410|19	1
ssl0410	ssl0410|115	1
ssl0410	ssl0410|52	1
sll0230	sll0230|38	1
sll0230	sll0230|127	1
sll0230	sll0230|148	1
sll0230	sll0230|90	1
sll0230	sll0230|109	1
msrA2	msrA2|80	1
msrA2	msrA2|62	1
msrA2	msrA2|190	1
msrA2	msrA2|16	1
msrA2	msrA2|151	1
psaK	psaK|112	1
psaK	psaK|34	1
psaK	psaK|136	1
psaK	psaK|50	1
psaK	psaK|22	1
psaD	psaD|64	1
psaD	psaD|126	1
psaD	psaD|97	1
psaD	psaD|21	1
psaD	psaD|85	1
aroK	aroK|41	1
aroK	aroK|259	1
aroK	aroK|238	1
aroK	aroK|87	1
aroK	aroK|76	1
rffM	rffM|11	1
rffM	rffM|58	1
rffM	rffM|190	1
rffM	rffM|122	1
rffM	rffM|97	1
sll1036	sll1036|42	1
sll1036	sll1036|54	1
sll1036	sll1036|202	1
sll1036	sll1036|136	1
sll1036	sll1036|170	1
ssl0426	ssl0426|241	1
ssl0426	ssl0426|256	1
ssl0426	ssl0426|148	1
fecD	fecD|29	1
fecD	fecD|76	1
fecD	fecD|45	1
fecD	fecD|59	1
fecD	fecD|7	1
fecE	fecE|65	1
fecE	fecE|47	1
fecE	fecE|25	1
fecE	fecE|98	1
fecE	fecE|13	1
fecB	fecB|91	1
fecB	fecB|74	1
fecB	fecB|106	1
fecB	fecB|13	1
fecB	fecB|24	1
fecC	fecC|147	1
fecC	fecC|3	1
fecC	fecC|54	1
fecC	fecC|67	1
fecC	fecC|115	1
phb	phb|12	1
phb	phb|112	1
phb	phb|101	1
phb	phb|55	1
phb	phb|139	1
ssl2733	ssl2733|51	1
ssl2733	ssl2733|30	1
ssl2733	ssl2733|187	1
folK	folK|27	1
folK	folK|38	1
folK	folK|106	1
folK	folK|75	1
folK	folK|6	1
sll1039	sll1039|173	1
sll1039	sll1039|78	1
sll1039	sll1039|157	1
sll1039	sll1039|43	1
sll1039	sll1039|143	1
cysM	cysM|53	1
cysM	cysM|28	1
cysM	cysM|40	1
cysM	cysM|134	1
cysM	cysM|113	1
ccmK2	ccmK2|28	1
ccmK2	ccmK2|39	1
ccmK2	ccmK2|151	1
ccmK2	ccmK2|76	1
ccmK2	ccmK2|172	1
sll0228	sll0228|55	1
sll0228	sll0228|93	1
sll0228	sll0228|118	1
sll0228	sll0228|22	1
sll0228	sll0228|9	1
cysH	cysH|152	1
cysH	cysH|61	1
cysH	cysH|79	1
cysH	cysH|94	1
cysH	cysH|30	1
sll0224	sll0224|112	1
sll0224	sll0224|83	1
sll0224	sll0224|13	1
sll0224	sll0224|135	1
sll0224	sll0224|57	1
sll0225	sll0225|138	1
sll0225	sll0225|182	1
sll0225	sll0225|274	1
sll0225	sll0225|231	1
sll0225	sll0225|193	1
slr1780	slr1780|232	1
slr1780	slr1780|28	1
slr1780	slr1780|135	1
slr1780	slr1780|212	1
slr1780	slr1780|244	1
ccmM	ccmM|79	1
ccmM	ccmM|108	1
ccmM	ccmM|67	1
ccmM	ccmM|119	1
ccmM	ccmM|13	1
slr1488	slr1488|151	1
slr1488	slr1488|5	1
slr1488	slr1488|51	1
slr1488	slr1488|211	1
slr1488	slr1488|104	1
ccmN	ccmN|214	1
ccmN	ccmN|9	1
ccmN	ccmN|237	1
ccmN	ccmN|172	1
ccmN	ccmN|127	1
cad	cad|27	1
cad	cad|50	1
cad	cad|138	1
cad	cad|89	1
cad	cad|8	1
ccmK	ccmK|119	1
ccmK	ccmK|28	1
ccmK	ccmK|39	1
ccmK	ccmK|55	1
ccmK	ccmK|76	1
slr0722	slr0722|138	1
slr0722	slr0722|7	1
slr0722	slr0722|65	1
slr0722	slr0722|104	1
slr0722	slr0722|88	1
hhoA	hhoA|23	1
hhoA	hhoA|9	1
hhoA	hhoA|133	1
hhoA	hhoA|114	1
hhoA	hhoA|76	1
cbiF	cbiF|116	1
cbiF	cbiF|165	1
cbiF	cbiF|53	1
cbiF	cbiF|76	1
cbiF	cbiF|130	1
slr1485	slr1485|88	1
slr1485	slr1485|71	1
slr1485	slr1485|143	1
slr1485	slr1485|26	1
slr1485	slr1485|55	1
slr1484	slr1484|79	1
slr1484	slr1484|65	1
slr1484	slr1484|44	1
slr1484	slr1484|25	1
slr1484	slr1484|144	1
iutA	iutA|114	1
