# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r1_T1.featureCounts.txt" "BG11_control_t0_r1_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r1_T1.bam
sll1677|130	sll1677|130	1	20	.	20	366
sll1677|88	sll1677|88	1	17	.	17	531
sll1677|7	sll1677|7	1	17	.	17	339
sll1677|31	sll1677|31	1	22	.	22	456
sll1677|163	sll1677|163	1	22	.	22	202
sll0218|192	sll0218|192	1	17	.	17	437
sll0218|64	sll0218|64	1	17	.	17	348
sll0218|8	sll0218|8	1	22	.	22	356
sll0218|112	sll0218|112	1	20	.	20	496
sll0218|39	sll0218|39	1	22	.	22	680
ssr1853|89	ssr1853|89	1	19	.	19	354
ssr1853|139	ssr1853|139	1	21	.	21	500
ssr1853|125	ssr1853|125	1	21	.	21	678
ssr1853|76	ssr1853|76	1	18	.	18	1533
ssr1853|103	ssr1853|103	1	20	.	20	286
slr1413|21	slr1413|21	1	22	.	22	340
slr1413|62	slr1413|62	1	18	.	18	368
slr1413|81	slr1413|81	1	17	.	17	234
slr1413|93	slr1413|93	1	22	.	22	487
slr1413|38	slr1413|38	1	17	.	17	448
speA|208	speA|208	1	20	.	20	275
speA|151	speA|151	1	20	.	20	496
speA|61	speA|61	1	17	.	17	222
speA|12	speA|12	1	20	.	20	525
speA|127	speA|127	1	22	.	22	391
gmk|118	gmk|118	1	17	.	17	216
gmk|6	gmk|6	1	20	.	20	14
gmk|141	gmk|141	1	18	.	18	350
gmk|184	gmk|184	1	20	.	20	200
gmk|50	gmk|50	1	22	.	22	318
slr1783|80	slr1783|80	1	20	.	20	628
slr1783|47	slr1783|47	1	17	.	17	524
slr1783|92	slr1783|92	1	18	.	18	222
slr1783|105	slr1783|105	1	21	.	21	182
slr1783|117	slr1783|117	1	17	.	17	144
sll0558|73	sll0558|73	1	22	.	22	331
sll0558|150	sll0558|150	1	22	.	22	906
sll0558|138	sll0558|138	1	21	.	21	53
sll0558|127	sll0558|127	1	20	.	20	118
sll0558|16	sll0558|16	1	21	.	21	353
phdD|80	phdD|80	1	18	.	18	640
phdD|109	phdD|109	1	22	.	22	98
phdD|65	phdD|65	1	17	.	17	367
phdD|139	phdD|139	1	20	.	20	199
phdD|161	phdD|161	1	19	.	19	506
slr1787|103	slr1787|103	1	17	.	17	144
slr1787|84	slr1787|84	1	19	.	19	219
slr1787|69	slr1787|69	1	19	.	19	145
slr1787|27	slr1787|27	1	19	.	19	268
slr1787|48	slr1787|48	1	21	.	21	366
fecB3|146	fecB3|146	1	19	.	19	344
fecB3|32	fecB3|32	1	22	.	22	125
fecB3|106	fecB3|106	1	20	.	20	932
fecB3|121	fecB3|121	1	18	.	18	207
fecB3|77	fecB3|77	1	17	.	17	161
fecB2|67	fecB2|67	1	22	.	22	378
fecB2|118	fecB2|118	1	21	.	21	170
