Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
BG11_control_t0_r1_T1										12.010605466635784	6.804058198159946	51.497825475876134	19.739557520483846	3.2680572264374423	0.0	0.15544719138540225
BG11_control_t0_r2_T1										11.540072284461722	6.631287747800737	49.04912415445622	21.457948172441117	4.5712312313832015	0.0	0.15243013146096332
BG11_control_t8_r1_T1										13.080750308462067	7.634151623652952	51.71657159306557	16.342051339023595	3.4724175649285636	0.0	0.16529889090569572
BG11_control_t8_r2_T1										11.684019976527113	7.002792697286013	46.944910539195135	20.538819380018904	6.898112118531895	0.0	0.1605763078691113
Lys_t0_r1_T1										11.717100939480193	6.578293882120101	49.94815785775321	20.303963949107697	3.860932221868933	0.3362048047833539	0.3215108843364067
Lys_t0_r2_T1										11.24224931988824	6.583652986613302	48.05543592754154	22.25111285472536	5.095131251562317	0.0	0.1527381306511916
Lys_t8_r1_T1										8.301078094845124	6.026528271338328	27.330600724337963	3.055135128007955	2.7935101000096165	2.1368139490721076	44.176479621562024
Lys_t8_r2_T1										10.349664647138871	6.141537715714363	40.77734234400521	12.699621657136031	7.282897078552391	3.6293598506273286	12.397655243583404
