# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r2_T1.featureCounts.txt" "BG11_control_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r2_T1.bam
sll1681|167	sll1681|167	1	17	.	17	226
sll1681|144	sll1681|144	1	18	.	18	261
ndhB|77	ndhB|77	1	17	.	17	370
ndhB|132	ndhB|132	1	22	.	22	172
ndhB|121	ndhB|121	1	17	.	17	493
ndhB|148	ndhB|148	1	19	.	19	325
ndhB|51	ndhB|51	1	19	.	19	377
sll1682|83	sll1682|83	1	20	.	20	927
sll1682|55	sll1682|55	1	17	.	17	565
sll1682|32	sll1682|32	1	21	.	21	413
sll1682|134	sll1682|134	1	21	.	21	541
sll1682|115	sll1682|115	1	18	.	18	637
sll1686|64	sll1686|64	1	22	.	22	458
sll1686|165	sll1686|165	1	17	.	17	303
sll1686|193	sll1686|193	1	20	.	20	305
sll1686|180	sll1686|180	1	21	.	21	1357
sll1686|214	sll1686|214	1	21	.	21	647
sll1037|58	sll1037|58	1	22	.	22	1451
sll1037|73	sll1037|73	1	19	.	19	1330
sll1037|21	sll1037|21	1	21	.	21	528
sll1037|94	sll1037|94	1	19	.	19	589
sll1037|46	sll1037|46	1	17	.	17	590
rne|232	rne|232	1	20	.	20	618
rne|194	rne|194	1	17	.	17	762
rne|138	rne|138	1	17	.	17	508
rne|206	rne|206	1	20	.	20	583
rne|82	rne|82	1	17	.	17	1123
slr0730|17	slr0730|17	1	18	.	18	74
slr0730|34	slr0730|34	1	20	.	20	593
slr0730|60	slr0730|60	1	19	.	19	305
slr0730|4	slr0730|4	1	19	.	19	231
slr0730|45	slr0730|45	1	21	.	21	650
atpI|167	atpI|167	1	20	.	20	70
atpI|11	atpI|11	1	18	.	18	73
atpI|232	atpI|232	1	18	.	18	113
atpI|41	atpI|41	1	17	.	17	91
atpI|52	atpI|52	1	21	.	21	129
atpH|68	atpH|68	1	20	.	20	172
atpH|34	atpH|34	1	22	.	22	232
atpH|91	atpH|91	1	19	.	19	232
atpH|103	atpH|103	1	22	.	22	418
atpH|10	atpH|10	1	19	.	19	125
atpC|124	atpC|124	1	22	.	22	396
atpC|3	atpC|3	1	17	.	17	57
atpC|85	atpC|85	1	21	.	21	403
atpC|26	atpC|26	1	17	.	17	136
atpC|103	atpC|103	1	22	.	22	487
hypD|73	hypD|73	1	19	.	19	1058
hypD|61	hypD|61	1	21	.	21	511
hypD|40	hypD|40	1	18	.	18	435
hypD|112	hypD|112	1	20	.	20	274
hypD|28	hypD|28	1	19	.	19	318
atpA|98	atpA|98	1	18	.	18	979
atpA|178	atpA|178	1	20	.	20	204
atpA|55	atpA|55	1	20	.	20	130
atpA|71	atpA|71	1	19	.	19	324
atpA|41	atpA|41	1	18	.	18	67
atpG|175	atpG|175	1	20	.	20	145
atpG|127	atpG|127	1	17	.	17	230
atpG|16	atpG|16	1	19	.	19	134
atpG|142	atpG|142	1	22	.	22	218
atpG|157	atpG|157	1	17	.	17	324
atpF|85	atpF|85	1	19	.	19	137
atpF|10	atpF|10	1	17	.	17	479
atpF|142	atpF|142	1	19	.	19	127
atpF|28	atpF|28	1	22	.	22	642
atpF|167	atpF|167	1	20	.	20	132
atpD|135	atpD|135	1	18	.	18	373
atpD|118	atpD|118	1	20	.	20	238
atpD|190	atpD|190	1	18	.	18	262
atpD|36	atpD|36	1	22	.	22	321
atpD|161	atpD|161	1	20	.	20	415
glmS|28	glmS|28	1	20	.	20	199
glmS|47	glmS|47	1	21	.	21	242
glmS|91	glmS|91	1	17	.	17	208
glmS|112	glmS|112	1	21	.	21	194
glmS|226	glmS|226	1	18	.	18	365
ssr2972|58	ssr2972|58	1	19	.	19	244
ssr2972|127	ssr2972|127	1	21	.	21	193
ssr2972|90	ssr2972|90	1	17	.	17	578
ssr2972|103	ssr2972|103	1	18	.	18	744
ssr2972|47	ssr2972|47	1	19	.	19	687
slr1501|79	slr1501|79	1	20	.	20	498
slr1501|34	slr1501|34	1	21	.	21	330
slr1501|10	slr1501|10	1	18	.	18	225
slr1501|48	slr1501|48	1	21	.	21	370
slr1501|22	slr1501|22	1	22	.	22	374
slr1774|226	slr1774|226	1	21	.	21	331
slr1774|91	slr1774|91	1	17	.	17	534
slr1774|147	slr1774|147	1	22	.	22	848
slr1774|107	slr1774|107	1	17	.	17	280
slr1774|160	slr1774|160	1	18	.	18	336
slr1773|227	slr1773|227	1	17	.	17	290
slr1773|93	slr1773|93	1	18	.	18	553
slr1773|78	slr1773|78	1	18	.	18	326
slr1773|65	slr1773|65	1	22	.	22	691
slr1773|54	slr1773|54	1	22	.	22	126
slr1772|133	slr1772|133	1	17	.	17	316
slr1772|151	slr1772|151	1	17	.	17	231
slr1772|16	slr1772|16	1	17	.	17	833
slr1772|222	slr1772|222	1	20	.	20	615
slr1772|48	slr1772|48	1	17	.	17	414
trx|126	trx|126	1	19	.	19	513
trx|80	trx|80	1	20	.	20	60
trx|45	trx|45	1	22	.	22	384
trx|102	trx|102	1	19	.	19	127
trx|31	trx|31	1	22	.	22	180
ssl2009|103	ssl2009|103	1	19	.	19	193
ssl2009|233	ssl2009|233	1	21	.	21	567
ssl2009|83	ssl2009|83	1	20	.	20	672
fhuA|187	fhuA|187	1	20	.	20	803
fhuA|127	fhuA|127	1	17	.	17	280
fhuA|103	fhuA|103	1	20	.	20	936
fhuA|28	fhuA|28	1	21	.	21	1041
fhuA|157	fhuA|157	1	21	.	21	245
slr1776|112	slr1776|112	1	22	.	22	603
slr1776|48	slr1776|48	1	19	.	19	329
