# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "Lys_t8_r2_T1.featureCounts.txt" "Lys_t8_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	Lys_t8_r2_T1.bam
sll1677|130	sll1677|130	1	20	.	20	291
sll1677|88	sll1677|88	1	17	.	17	573
sll1677|7	sll1677|7	1	17	.	17	374
sll1677|31	sll1677|31	1	22	.	22	358
sll1677|163	sll1677|163	1	22	.	22	201
sll0218|192	sll0218|192	1	17	.	17	727
sll0218|64	sll0218|64	1	17	.	17	1099
sll0218|8	sll0218|8	1	22	.	22	814
sll0218|112	sll0218|112	1	20	.	20	1451
sll0218|39	sll0218|39	1	22	.	22	1450
ssr1853|89	ssr1853|89	1	19	.	19	352
ssr1853|139	ssr1853|139	1	21	.	21	398
ssr1853|125	ssr1853|125	1	21	.	21	629
ssr1853|76	ssr1853|76	1	18	.	18	1275
ssr1853|103	ssr1853|103	1	20	.	20	203
slr1413|21	slr1413|21	1	22	.	22	346
slr1413|62	slr1413|62	1	18	.	18	460
slr1413|81	slr1413|81	1	17	.	17	154
slr1413|93	slr1413|93	1	22	.	22	447
slr1413|38	slr1413|38	1	17	.	17	489
speA|208	speA|208	1	20	.	20	279
speA|151	speA|151	1	20	.	20	328
speA|61	speA|61	1	17	.	17	212
speA|12	speA|12	1	20	.	20	516
speA|127	speA|127	1	22	.	22	343
gmk|118	gmk|118	1	17	.	17	452
gmk|6	gmk|6	1	20	.	20	7
gmk|141	gmk|141	1	18	.	18	137
gmk|184	gmk|184	1	20	.	20	56
gmk|50	gmk|50	1	22	.	22	40
slr1783|80	slr1783|80	1	20	.	20	197
slr1783|47	slr1783|47	1	17	.	17	458
slr1783|92	slr1783|92	1	18	.	18	67
slr1783|105	slr1783|105	1	21	.	21	72
slr1783|117	slr1783|117	1	17	.	17	142
sll0558|73	sll0558|73	1	22	.	22	229
sll0558|150	sll0558|150	1	22	.	22	538
sll0558|138	sll0558|138	1	21	.	21	39
sll0558|127	sll0558|127	1	20	.	20	43
sll0558|16	sll0558|16	1	21	.	21	105
phdD|80	phdD|80	1	18	.	18	453
phdD|109	phdD|109	1	22	.	22	70
phdD|65	phdD|65	1	17	.	17	80
phdD|139	phdD|139	1	20	.	20	220
phdD|161	phdD|161	1	19	.	19	488
slr1787|103	slr1787|103	1	17	.	17	59
slr1787|84	slr1787|84	1	19	.	19	91
slr1787|69	slr1787|69	1	19	.	19	48
slr1787|27	slr1787|27	1	19	.	19	151
slr1787|48	slr1787|48	1	21	.	21	280
fecB3|146	fecB3|146	1	19	.	19	344
fecB3|32	fecB3|32	1	22	.	22	71
fecB3|106	fecB3|106	1	20	.	20	767
fecB3|121	fecB3|121	1	18	.	18	149
fecB3|77	fecB3|77	1	17	.	17	173
fecB2|67	fecB2|67	1	22	.	22	399
fecB2|118	fecB2|118	1	21	.	21	63
fecB2|145	fecB2|145	1	20	.	20	336
fecB2|165	fecB2|165	1	22	.	22	198
fecB2|190	fecB2|190	1	21	.	21	166
slr1788|18	slr1788|18	1	21	.	21	180
slr1788|161	slr1788|161	1	20	.	20	312
slr1788|30	slr1788|30	1	20	.	20	90
slr1788|122	slr1788|122	1	20	.	20	331
slr1788|172	slr1788|172	1	18	.	18	692
slr1789|140	slr1789|140	1	20	.	20	203
slr1789|27	slr1789|27	1	22	.	22	170
slr1789|39	slr1789|39	1	20	.	20	281
slr1789|250	slr1789|250	1	19	.	19	301
slr1789|97	slr1789|97	1	20	.	20	163
crtE|100	crtE|100	1	21	.	21	744
crtE|184	crtE|184	1	22	.	22	110
crtE|124	crtE|124	1	20	.	20	385
crtE|76	crtE|76	1	20	.	20	112
crtE|7	crtE|7	1	18	.	18	213
mom72|42	mom72|42	1	21	.	21	390
mom72|82	mom72|82	1	18	.	18	413
mom72|61	mom72|61	1	20	.	20	747
mom72|99	mom72|99	1	20	.	20	88
mom72|110	mom72|110	1	18	.	18	597
slr0238|51	slr0238|51	1	18	.	18	867
slr0238|88	slr0238|88	1	20	.	20	310
slr0238|40	slr0238|40	1	21	.	21	132
slr0238|143	slr0238|143	1	20	.	20	326
slr0238|107	slr0238|107	1	21	.	21	573
ctpB|6	ctpB|6	1	20	.	20	683
ctpB|93	ctpB|93	1	20	.	20	304
ctpB|27	ctpB|27	1	19	.	19	292
ctpB|82	ctpB|82	1	22	.	22	666
ctpB|70	ctpB|70	1	18	.	18	883
