# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t8_r2_T1.featureCounts.txt" "BG11_control_t8_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t8_r2_T1.bam
sll1677|130	sll1677|130	1	20	.	20	397
sll1677|88	sll1677|88	1	17	.	17	681
sll1677|7	sll1677|7	1	17	.	17	496
sll1677|31	sll1677|31	1	22	.	22	732
sll1677|163	sll1677|163	1	22	.	22	297
sll0218|192	sll0218|192	1	17	.	17	1740
sll0218|64	sll0218|64	1	17	.	17	2101
sll0218|8	sll0218|8	1	22	.	22	2004
sll0218|112	sll0218|112	1	20	.	20	3123
sll0218|39	sll0218|39	1	22	.	22	3296
ssr1853|89	ssr1853|89	1	19	.	19	423
ssr1853|139	ssr1853|139	1	21	.	21	438
ssr1853|125	ssr1853|125	1	21	.	21	715
ssr1853|76	ssr1853|76	1	18	.	18	1383
ssr1853|103	ssr1853|103	1	20	.	20	298
slr1413|21	slr1413|21	1	22	.	22	420
slr1413|62	slr1413|62	1	18	.	18	407
slr1413|81	slr1413|81	1	17	.	17	266
slr1413|93	slr1413|93	1	22	.	22	462
slr1413|38	slr1413|38	1	17	.	17	496
speA|208	speA|208	1	20	.	20	261
speA|151	speA|151	1	20	.	20	500
speA|61	speA|61	1	17	.	17	285
speA|12	speA|12	1	20	.	20	604
speA|127	speA|127	1	22	.	22	448
gmk|118	gmk|118	1	17	.	17	303
gmk|6	gmk|6	1	20	.	20	5
gmk|141	gmk|141	1	18	.	18	354
gmk|184	gmk|184	1	20	.	20	284
gmk|50	gmk|50	1	22	.	22	154
slr1783|80	slr1783|80	1	20	.	20	282
slr1783|47	slr1783|47	1	17	.	17	512
slr1783|92	slr1783|92	1	18	.	18	135
slr1783|105	slr1783|105	1	21	.	21	149
slr1783|117	slr1783|117	1	17	.	17	164
sll0558|73	sll0558|73	1	22	.	22	343
sll0558|150	sll0558|150	1	22	.	22	815
sll0558|138	sll0558|138	1	21	.	21	50
sll0558|127	sll0558|127	1	20	.	20	85
sll0558|16	sll0558|16	1	21	.	21	354
phdD|80	phdD|80	1	18	.	18	686
phdD|109	phdD|109	1	22	.	22	57
phdD|65	phdD|65	1	17	.	17	330
phdD|139	phdD|139	1	20	.	20	230
phdD|161	phdD|161	1	19	.	19	523
slr1787|103	slr1787|103	1	17	.	17	112
slr1787|84	slr1787|84	1	19	.	19	138
slr1787|69	slr1787|69	1	19	.	19	93
slr1787|27	slr1787|27	1	19	.	19	208
slr1787|48	slr1787|48	1	21	.	21	253
fecB3|146	fecB3|146	1	19	.	19	361
fecB3|32	fecB3|32	1	22	.	22	117
fecB3|106	fecB3|106	1	20	.	20	906
fecB3|121	fecB3|121	1	18	.	18	210
fecB3|77	fecB3|77	1	17	.	17	202
fecB2|67	fecB2|67	1	22	.	22	389
fecB2|118	fecB2|118	1	21	.	21	112
fecB2|145	fecB2|145	1	20	.	20	324
fecB2|165	fecB2|165	1	22	.	22	240
fecB2|190	fecB2|190	1	21	.	21	219
slr1788|18	slr1788|18	1	21	.	21	203
slr1788|161	slr1788|161	1	20	.	20	476
slr1788|30	slr1788|30	1	20	.	20	149
slr1788|122	slr1788|122	1	20	.	20	404
slr1788|172	slr1788|172	1	18	.	18	803
slr1789|140	slr1789|140	1	20	.	20	175
slr1789|27	slr1789|27	1	22	.	22	175
slr1789|39	slr1789|39	1	20	.	20	319
slr1789|250	slr1789|250	1	19	.	19	329
slr1789|97	slr1789|97	1	20	.	20	211
crtE|100	crtE|100	1	21	.	21	921
crtE|184	crtE|184	1	22	.	22	81
crtE|124	crtE|124	1	20	.	20	510
crtE|76	crtE|76	1	20	.	20	521
crtE|7	crtE|7	1	18	.	18	203
mom72|42	mom72|42	1	21	.	21	461
mom72|82	mom72|82	1	18	.	18	481
mom72|61	mom72|61	1	20	.	20	817
mom72|99	mom72|99	1	20	.	20	131
mom72|110	mom72|110	1	18	.	18	633
slr0238|51	slr0238|51	1	18	.	18	1016
slr0238|88	slr0238|88	1	20	.	20	467
slr0238|40	slr0238|40	1	21	.	21	155
slr0238|143	slr0238|143	1	20	.	20	397
slr0238|107	slr0238|107	1	21	.	21	710
ctpB|6	ctpB|6	1	20	.	20	513
ctpB|93	ctpB|93	1	20	.	20	269
ctpB|27	ctpB|27	1	19	.	19	233
ctpB|82	ctpB|82	1	22	.	22	83
ctpB|70	ctpB|70	1	18	.	18	730
mutT|117	mutT|117	1	19	.	19	1366
mutT|9	mutT|9	1	22	.	22	298
mutT|53	mutT|53	1	22	.	22	761
mutT|135	mutT|135	1	20	.	20	721
mutT|77	mutT|77	1	21	.	21	123
rhnB|69	rhnB|69	1	22	.	22	658
rhnB|143	rhnB|143	1	18	.	18	281
rhnB|42	rhnB|42	1	21	.	21	455
rhnB|129	rhnB|129	1	17	.	17	436
rhnB|86	rhnB|86	1	19	.	19	379
adk|112	adk|112	1	21	.	21	562
adk|124	adk|124	1	19	.	19	231
adk|43	adk|43	1	17	.	17	543
adk|56	adk|56	1	21	.	21	344
adk|23	adk|23	1	20	.	20	708
sll1033|70	sll1033|70	1	19	.	19	135
sll1033|84	sll1033|84	1	21	.	21	289
sll1033|33	sll1033|33	1	22	.	22	235
sll1033|14	sll1033|14	1	17	.	17	368
sll1033|53	sll1033|53	1	17	.	17	570
sll1681|6	sll1681|6	1	20	.	20	171
sll1681|118	sll1681|118	1	20	.	20	669
sll1681|98	sll1681|98	1	17	.	17	399
sll1681|167	sll1681|167	1	17	.	17	232
sll1681|144	sll1681|144	1	18	.	18	259
ndhB|77	ndhB|77	1	17	.	17	115
ndhB|132	ndhB|132	1	22	.	22	81
ndhB|121	ndhB|121	1	17	.	17	601
ndhB|148	ndhB|148	1	19	.	19	174
ndhB|51	ndhB|51	1	19	.	19	101
sll1682|83	sll1682|83	1	20	.	20	1701
sll1682|55	sll1682|55	1	17	.	17	522
sll1682|32	sll1682|32	1	21	.	21	402
sll1682|134	sll1682|134	1	21	.	21	513
sll1682|115	sll1682|115	1	18	.	18	575
sll1686|64	sll1686|64	1	22	.	22	467
sll1686|165	sll1686|165	1	17	.	17	326
sll1686|193	sll1686|193	1	20	.	20	241
sll1686|180	sll1686|180	1	21	.	21	1470
sll1686|214	sll1686|214	1	21	.	21	538
sll1037|58	sll1037|58	1	22	.	22	1570
sll1037|73	sll1037|73	1	19	.	19	1401
sll1037|21	sll1037|21	1	21	.	21	458
sll1037|94	sll1037|94	1	19	.	19	675
sll1037|46	sll1037|46	1	17	.	17	247
rne|232	rne|232	1	20	.	20	230
rne|194	rne|194	1	17	.	17	621
rne|138	rne|138	1	17	.	17	260
rne|206	rne|206	1	20	.	20	778
rne|82	rne|82	1	17	.	17	452
slr0730|17	slr0730|17	1	18	.	18	76
